# The babadook

('horror', -4.7778218054261234)
('joel', -7.4024773158605948)
('oven', -10.597642443370097)
('willis', -15.481808168343193)
('bruce', -27.34902252397821)
('twist', -182.244203127719)



Arrival

('void', -0.6993443665941883)
('kidman', -0.6993443665941883)
('significance', -0.6993443665941883)
('meme', -0.6993443665941883)
('flop', -0.6993443665941883)
('lotr', -0.6993443665941883)
('honk', -0.6993443665941883)
('kim', -0.6993443665941883)
('protocol', -0.6993443665941883)
('indoctrination', -0.6993443665941883)
('jane', -0.6993443665941883)
('brainless', -0.6993443665941883)
('promising', -0.6993443665941883)
('sickness', -0.6993443665941883)
('dimension', -0.6993443665941883)
('prepare', -0.6993443665941883)
('abyss', -0.6993443665941883)
('moonlight', -0.6993443665941883)
('beware', -0.6993443665941883)
('scout', -0.6993443665941883)
('supremacy', -0.6993443665941883)
('siren', -0.6993443665941883)
('lighting', -0.6993443665941883)
('bullcrap', -0.6993443665941883)
('radar', -0.6993443665941883)
('wolverine', -0.6993443665941883)
('adaptation', -0.6993443665941883)
('pact', -0.6993443665941883)
('clark', -0.6993443665941883)
('location', -0.6993443665941883)
('saucer', -0.6993443665941883)
('span', -0.6993443665941883)
('reel', -0.6993443665941883)
('skull', -0.6993443665941883)
('fett', -0.6993443665941883)
('mechanism', -0.6993443665941883)
('hypothesis', -0.6993443665941883)
('infinity', -0.6993443665941883)
('whale', -0.6993443665941883)
('twitter', -0.6993443665941883)
('bowling', -0.6993443665941883)
('theyd', -0.6993443665941883)
('fest', -0.7327663731163393)
('harassment', -0.7327663731163393)
('tea', -0.7327663731163393)
('perspective', -0.7327663731163393)
('surface', -0.7327663731163393)
('ign', -0.7327663731163393)
('shouldve', -0.7327663731163393)
('outcome', -0.81152886408832658)
('advertising', -0.81152886408832658)
('tema', -0.81152886408832658)
('youve', -0.88867859577282327)
('existence', -0.88867859577282327)
('ripoff', -0.95863944762594644)
('max', -0.95863944762594644)
('agenda', -1.0779792626112221)
('boring', -1.0779792626112221)
('teaser', -1.2629790290551961)
('tower', -1.2629790290551961)
('ing', -1.2923883946991199)
('dictator', -1.2923883946991199)
('hype', -1.2923883946991199)
('log', -1.3986887331883766)
('babys', -1.3986887331883766)
('peek', -1.3986887331883766)
('diversity', -1.3986887331883766)
('renner', -1.4627039406489264)
('villeneuve', -1.5614601683685458)
('universe', -1.6138383357894408)
('horus', -1.7775073514635675)
('protagonist', -1.7775073514635675)
('flaw', -1.7775073514635675)
('movieeee', -1.7775073514635675)
('shield', -1.7775073514635675)
('farewell', -1.7775073514635675)
('carry', -1.7775073514635675)
('mandarin', -1.7775073514635675)
('babylon', -1.7775073514635675)
